Algorithm,Vertices,Edges,Operations,Time(ms)
TarjanSCC,10,20,10,0,5974
TopologicalSort,10,20,15,0,0840
ShortestPath,10,20,4,0,0940
LongestPath,10,20,4,0,0425
TarjanSCC,50,100,50,0,2421
TopologicalSort,50,100,98,0,1264
ShortestPath,50,100,14,0,0343
LongestPath,50,100,14,0,0412
TarjanSCC,100,200,97,0,4342
TopologicalSort,100,200,193,0,3335
ShortestPath,100,200,97,0,1334
LongestPath,100,200,97,0,0754
TarjanSCC,200,400,188,0,6677
TopologicalSort,200,400,389,0,2070
ShortestPath,200,400,103,0,1507
LongestPath,200,400,103,0,1067
TarjanSCC,500,1000,472,1,3061
TopologicalSort,500,1000,980,0,3543
ShortestPath,500,1000,123,0,2884
LongestPath,500,1000,123,0,5031
